                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    110,                 1.8212,                 1.3838,                 1.4205,                0.53653,                0.27203,                0.27568,                0.09212,                 2.7388,                 2.4137,                 2.0898,              0.0022148,              0.0022148,              0.0022148
                    111,                 1.8103,                 1.3307,                 1.3973,                0.62633,                0.32059,                 0.3566,                0.12974,                 2.4706,                  2.048,                 1.9728,              0.0021763,              0.0021763,              0.0021763
                    112,                 1.7675,                 1.3474,                 1.3833,                0.56161,                 0.3388,                0.34856,                0.12486,                 2.5069,                 2.0047,                  2.012,              0.0021378,              0.0021378,              0.0021378
                    113,                 1.7868,                  1.324,                 1.3981,                0.49881,                0.39891,                0.34784,                0.11998,                 2.5239,                 2.0647,                 2.0167,              0.0020995,              0.0020995,              0.0020995
                    114,                 1.7436,                 1.3006,                 1.3456,                0.48645,                0.35716,                0.32289,                0.11295,                 2.5474,                 2.0888,                 2.0161,              0.0020612,              0.0020612,              0.0020612
                    115,                 1.7234,                 1.2707,                 1.3606,                0.57938,                 0.4153,                0.40398,                0.14118,                  2.524,                  1.955,                 2.0333,              0.0020231,              0.0020231,              0.0020231
                    116,                 1.7608,                 1.3051,                 1.3711,                  0.519,                0.42077,                0.39989,                0.13723,                 2.5497,                 2.0424,                 2.0311,              0.0019851,              0.0019851,              0.0019851
                    117,                 1.7549,                 1.2851,                 1.3974,                0.57232,                0.37158,                 0.4029,                0.13553,                 2.5719,                  1.985,                  2.034,              0.0019472,              0.0019472,              0.0019472
                    118,                 1.7121,                 1.2877,                 1.3478,                0.54583,                0.36612,                0.37685,                0.13089,                 2.5598,                 2.0688,                 2.0061,              0.0019095,              0.0019095,              0.0019095
                    119,                 1.7399,                 1.2962,                 1.3586,                0.42726,                 0.3995,                0.32453,                0.11647,                 2.5835,                 2.1172,                  2.091,              0.0018719,              0.0018719,              0.0018719
                    120,                 1.7042,                 1.2667,                 1.3565,                0.51565,                0.38798,                0.38713,                0.13417,                 2.5241,                      2,                 2.0138,              0.0018345,              0.0018345,              0.0018345
                    121,                 1.7146,                 1.2662,                 1.3591,                0.45088,                0.32755,                0.28437,                0.10491,                 2.5172,                 2.2472,                 2.0164,              0.0017973,              0.0017973,              0.0017973
                    122,                 1.7404,                 1.2695,                  1.372,                0.55729,                0.37705,                0.39411,                0.14093,                 2.4518,                 1.9975,                 1.9716,              0.0017602,              0.0017602,              0.0017602
                    123,                 1.7244,                 1.2596,                 1.3675,                 0.6308,                0.33333,                0.36218,                0.13307,                 2.5547,                 1.9817,                 2.0552,              0.0017233,              0.0017233,              0.0017233
                    124,                 1.6781,                 1.2363,                 1.3533,                0.48946,                0.40864,                0.38117,                0.13137,                 2.6441,                 2.0846,                 2.1239,              0.0016866,              0.0016866,              0.0016866
                    125,                 1.6717,                 1.2752,                 1.3371,                 0.5337,                0.42077,                0.39282,                0.13917,                 2.4707,                 1.9483,                 1.9849,              0.0016501,              0.0016501,              0.0016501
                    126,                 1.6873,                 1.2455,                 1.3401,                0.54045,                 0.4153,                0.40925,                0.14402,                 2.4902,                 1.9772,                 2.0038,              0.0016139,              0.0016139,              0.0016139
                    127,                 1.6553,                 1.2266,                 1.3343,                0.58685,                0.36612,                0.39054,                0.13999,                 2.4904,                 2.0434,                 2.0451,              0.0015779,              0.0015779,              0.0015779
                    128,                 1.6633,                 1.2012,                 1.3103,                0.48558,                0.31466,                0.31497,                0.11241,                 2.6111,                 2.3367,                 2.0923,              0.0015421,              0.0015421,              0.0015421
                    129,                  1.668,                 1.2551,                 1.3412,                0.43382,                0.39891,                0.33765,                0.12445,                 2.4256,                 2.0724,                 1.9945,              0.0015065,              0.0015065,              0.0015065
                    130,                 1.6262,                 1.2287,                 1.2948,                0.36819,                0.36612,                0.32686,                0.12122,                 2.5327,                 2.2402,                 2.0447,              0.0014712,              0.0014712,              0.0014712
