                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                 1.0807,                0.58141,                0.94098,                0.78628,                0.57411,                 0.6345,                0.28274,                 2.0567,                 1.3818,                 1.4528,              0.0021378,              0.0021378,              0.0021378
                    113,                 1.0688,                 0.5762,                0.93377,                0.77197,                0.57006,                0.63281,                0.28337,                 2.0513,                 1.3899,                  1.451,              0.0020995,              0.0020995,              0.0020995
                    114,                 1.0569,                 0.5723,                 0.9341,                0.76623,                0.57219,                0.62923,                0.28474,                 2.0565,                 1.3873,                 1.4562,              0.0020612,              0.0020612,              0.0020612
                    115,                 1.0581,                0.56546,                0.93087,                0.80852,                0.56369,                0.63673,                0.28453,                 2.0583,                 1.3747,                 1.4623,              0.0020231,              0.0020231,              0.0020231
                    116,                 1.0497,                0.55708,                 0.9315,                 0.8028,                0.56688,                0.63694,                  0.284,                 2.0608,                 1.3736,                 1.4647,              0.0019851,              0.0019851,              0.0019851
                    117,                 1.0482,                0.55998,                0.92875,                0.80873,                0.55945,                0.62879,                 0.2833,                 2.0649,                 1.3778,                 1.4664,              0.0019472,              0.0019472,              0.0019472
                    118,                 1.0503,                0.55923,                0.93323,                0.77609,                0.56688,                0.62599,                0.28277,                 2.0652,                 1.3885,                 1.4635,              0.0019095,              0.0019095,              0.0019095
                    119,                   1.05,                 0.5642,                0.92992,                0.75459,                0.57449,                0.62622,                0.28035,                 2.0632,                 1.3916,                 1.4632,              0.0018719,              0.0018719,              0.0018719
                    120,                 1.0378,                0.55036,                0.92995,                0.77481,                0.56263,                0.62603,                0.27946,                 2.0633,                 1.3992,                 1.4657,              0.0018345,              0.0018345,              0.0018345
                    121,                 1.0413,                 0.5542,                0.93175,                0.77692,                0.55414,                0.62135,                0.27962,                 2.0596,                 1.4038,                 1.4636,              0.0017973,              0.0017973,              0.0017973
                    122,                  1.048,                0.56003,                0.93108,                0.78083,                0.55414,                0.62188,                0.27948,                 2.0603,                 1.4061,                 1.4636,              0.0017602,              0.0017602,              0.0017602
                    123,                  1.041,                  0.548,                0.92946,                0.78212,                0.54875,                0.61859,                0.28032,                 2.0575,                 1.4119,                 1.4612,              0.0017233,              0.0017233,              0.0017233
                    124,                 1.0338,                0.54158,                 0.9249,                0.78094,                0.55254,                0.62594,                0.28045,                 2.0638,                 1.4223,                 1.4652,              0.0016866,              0.0016866,              0.0016866
                    125,                 1.0241,                0.54594,                0.92519,                0.77589,                0.56157,                0.62577,                0.28083,                 2.0633,                 1.4252,                 1.4633,              0.0016501,              0.0016501,              0.0016501
                    126,                 1.0338,                0.54736,                0.92679,                0.78285,                0.56157,                0.62852,                0.28213,                 2.0624,                 1.4205,                 1.4638,              0.0016139,              0.0016139,              0.0016139
                    127,                 1.0187,                0.53413,                0.92226,                0.79074,                0.56158,                0.63364,                0.28355,                 2.0639,                 1.4211,                 1.4654,              0.0015779,              0.0015779,              0.0015779
                    128,                 1.0114,                0.53288,                0.92116,                0.79877,                0.56042,                0.63419,                0.28424,                 2.0641,                 1.4227,                 1.4668,              0.0015421,              0.0015421,              0.0015421
                    129,                 1.0076,                0.53062,                0.91901,                0.78825,                0.56051,                0.63276,                0.28357,                 2.0627,                 1.4256,                 1.4651,              0.0015065,              0.0015065,              0.0015065
                    130,                 1.0114,                0.52867,                0.91602,                0.78937,                0.56096,                0.62753,                0.28409,                 2.0594,                 1.4293,                  1.462,              0.0014712,              0.0014712,              0.0014712
                    131,                 1.0218,                0.53545,                0.92104,                0.78877,                0.56157,                0.62994,                0.28421,                  2.057,                 1.4246,                 1.4603,              0.0014362,              0.0014362,              0.0014362
                    132,                 1.0118,                0.52831,                0.92262,                0.79334,                0.56582,                0.63059,                0.28474,                 2.0558,                 1.4266,                 1.4592,              0.0014014,              0.0014014,              0.0014014
                    133,                 0.9956,                0.51918,                0.91635,                0.79301,                0.56531,                0.63241,                0.28441,                 2.0552,                 1.4235,                 1.4596,              0.0013669,              0.0013669,              0.0013669
                    134,                0.99812,                0.52385,                0.91894,                0.80427,                0.56706,                0.63502,                0.28556,                 2.0577,                 1.4209,                 1.4613,              0.0013327,              0.0013327,              0.0013327
                    135,                 1.0025,                0.52866,                0.91688,                0.79979,                0.55976,                0.62839,                0.28511,                 2.0575,                 1.4259,                  1.462,              0.0012987,              0.0012987,              0.0012987
                    136,                0.98947,                 0.5174,                0.90963,                 0.7907,                0.56369,                0.62926,                0.28563,                 2.0586,                 1.4299,                 1.4628,              0.0012651,              0.0012651,              0.0012651
                    137,                0.99544,                0.51895,                0.91299,                 0.7993,                0.56228,                0.62946,                0.28574,                 2.0579,                 1.4315,                 1.4629,              0.0012318,              0.0012318,              0.0012318
                    138,                0.98738,                 0.5134,                0.91109,                0.84616,                0.53717,                0.62873,                 0.2843,                 2.0628,                 1.4341,                 1.4692,              0.0011988,              0.0011988,              0.0011988
                    139,                0.98073,                 0.5085,                0.91003,                0.84661,                0.53903,                 0.6276,                0.28434,                 2.0638,                 1.4359,                 1.4702,              0.0011662,              0.0011662,              0.0011662
                    140,                 0.9804,                0.50993,                0.91174,                 0.8431,                0.53715,                0.62453,                0.28376,                 2.0629,                 1.4369,                 1.4699,              0.0011338,              0.0011338,              0.0011338
                    141,                0.97793,                0.50739,                0.91155,                0.79396,                0.56157,                0.62401,                 0.2845,                 2.0648,                 1.4348,                  1.471,              0.0011019,              0.0011019,              0.0011019
                    142,                0.96944,                0.50518,                0.90907,                0.79559,                0.56263,                0.62692,                0.28498,                 2.0639,                 1.4345,                 1.4713,              0.0010702,              0.0010702,              0.0010702
                    143,                0.98383,                0.51509,                0.90982,                 0.7744,                0.57006,                 0.6282,                0.28452,                 2.0641,                 1.4354,                 1.4724,               0.001039,               0.001039,               0.001039
                    144,                0.97209,                0.50529,                0.91106,                  0.778,                  0.569,                0.62851,                0.28484,                 2.0639,                 1.4338,                 1.4724,              0.0010081,              0.0010081,              0.0010081
                    145,                0.96625,                0.50142,                0.90925,                0.77725,                0.56794,                0.62977,                 0.2851,                  2.064,                 1.4349,                 1.4727,             0.00097752,             0.00097752,             0.00097752
                    146,                 0.9603,                0.49648,                0.90555,                0.78545,                0.55839,                0.62906,                0.28513,                 2.0659,                 1.4403,                 1.4743,             0.00094738,             0.00094738,             0.00094738
                    147,                0.96271,                0.50245,                0.90605,                0.77593,                0.56476,                0.62646,                0.28493,                 2.0665,                 1.4432,                 1.4747,             0.00091762,             0.00091762,             0.00091762
